,Index,ID,Name,cluster
269,269,3470,Special A,1
270,270,15689,Nekomonogatari Kuro,0
271,271,8861,Yosuga no Sora In Solitude Where We Are Least Alone ,1
272,272,228,Jigoku Shoujo,0
273,273,12445,Tasogare Otome x Amnesia,0
274,274,23233,Shinmai Maou no Testament,2
275,275,8630,Hidan no Aria,2
276,276,9656,Kimi ni Todoke 2nd Season,1
277,277,202,Wolf 039 s Rain,2
278,278,32542,Sakamoto desu ga ,1
279,279,16011,Tokyo Ravens,1
280,280,72,Full Metal Panic Fumoffu,2
281,281,66,Azumanga Daioh,1
282,282,16524,Suisei no Gargantia,2
283,283,11433,Ano Natsu de Matteru,1
284,284,12549,Dakara Boku wa H ga Dekinai ,1
285,285,154,Shaman King,2
286,286,25397,Absolute Duo,0
287,287,30544,Gakusen Toshi Asterisk,2
288,288,31442,Musaigen no Phantom World,2
289,289,10161,No 6,0
290,290,1726,Devil May Cry,0
291,291,136,Hunter x Hunter,2
292,292,32729,Orange,1
293,293,384,Gantz,0
294,294,2104,Seto no Hanayome,1
295,295,20853,Hitsugi no Chaika,2
296,296,14833,Maoyuu Maou Yuusha,2
297,297,1943,Paprika,0
298,298,1530,Kanon 2006 ,1
299,299,7647,Arakawa Under the Bridge,1
300,300,31580,Ajin,0
301,301,4059,Clannad Mou Hitotsu no Sekai Tomoyo hen,1
302,302,21431,Gokukoku no Brynhildr,0
303,303,21405,Bokura wa Minna Kawaisou,1
304,304,10863,Steins Gate Oukoubakko no Poriomania,1
305,305,9367,Freezing,0
306,306,5682,Phantom Requiem for the Phantom,0
307,307,79,Shuffle ,1
308,308,10800,Chihayafuru,1
309,309,28825,Himouto Umaru chan,1
310,310,263,Hajime no Ippo,1
311,311,8795,Panty amp Stocking with Garterbelt,0
312,312,30123,Akagami no Shirayuki hime,1
313,313,8676,Amagami SS,1
314,314,1698,Nodame Cantabile,1
315,315,10163,C The Money of Soul and Possibility Control,2
316,316,10721,Mawaru Penguindrum,0
317,317,189,Love Hina,1
318,318,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,1
319,319,13161,Hagure Yuusha no Aesthetica,2
320,320,23277,Saenai Heroine no Sodatekata,1
321,321,73,Full Metal Panic The Second Raid,0
322,322,15051,Love Live School Idol Project,1
323,323,11785,Haiyore Nyaruko san,1
324,324,20031,D Frag ,1
